V	E	states	duration
6	6	8861	54
7	9	1476	105
6	5	4714	34
6	12	8058	25
8	7	12876	1419
8	25	919841	3495
7	7	5270	154
8	25	919841	22303
8	27	13370769	42440
7	11	6303	255
8	9	950	788
8	23	214417	33825
8	20	22009	6598
6	5	1434	22
8	20	37349	3614
8	19	45715	4056
6	9	2279	26
6	14	22689	108
6	12	16035	52
8	20	10872	1199
8	22	10056	564
6	7	2099	19
8	13	4740	1363
6	14	22689	49
6	9	3298	29
7	12	6615	147
8	7	6134	895
7	7	7406	177
6	10	4007	24
6	10	1704	10
8	24	698307	14470
8	12	4796	995
6	5	1332	24
6	14	22689	95
7	6	1413	118
7	14	17092	931
6	8	2142	17
6	6	1254	20
7	15	7993	109
7	20	466927	1242
8	7	11390	890
7	12	2400	122
8	27	13370769	87582
7	9	535	256
6	6	584	18
6	7	1417	30
7	11	3202	149
8	25	919841	49516
8	19	1	565
8	13	1140	480
6	10	2212	21
6	9	1870	19
6	7	1147	18
6	7	2554	22
6	5	1434	24
6	14	22689	31
8	18	6221	1072
8	20	163877	4614
6	5	1434	27
6	14	22689	94
6	6	1433	20
8	18	1	1014
6	14	22689	95
8	16	3374	1164
6	5	2792	32
7	7	4532	122
6	13	5299	23
6	6	272	15
8	22	29055	3261
6	12	5369	43
8	12	43129	1392
7	18	11601	204
8	20	7861	883
6	9	1275	15
8	26	1293343	27254
7	12	6607	271
8	24	109375	11556
7	20	466927	1920
7	11	2858	91
7	8	2958	110
8	19	5616	281
8	23	214417	5505
6	12	3333	11
8	13	18201	1202
8	12	5468	1691
8	23	23695	1002
8	26	5898985	66564
7	11	6010	163
6	10	2212	24
7	19	237671	3920
7	15	3325	91
6	10	2212	24
6	7	1147	15
8	16	8963	1623
7	13	9554	151
6	8	1739	20
8	17	1311	902
6	10	1023	22
7	16	16147	342
6	12	5369	46
6	6	1334	20
6	5	1332	29
8	27	13370769	42807
7	11	864	213
7	15	3325	112
8	25	919841	3441
8	20	1836	2023
6	13	14161	63
6	7	1472	19
7	20	466927	5014
8	7	6022	1022
6	12	3333	21
8	15	2202	1655
8	24	109375	7290
7	14	12348	143
7	7	4761	157
7	11	6784	144
7	19	68109	414
6	12	5369	18
8	24	268555	3296
6	11	2199	34
8	19	3990	2959
8	9	5662	979
8	13	89570	3216
8	23	23695	973
6	7	3639	25
6	11	5971	27
7	20	466927	4990
8	18	222648	1621
6	13	5299	26
8	24	520843	41147
7	10	4161	198
6	12	1386	10
7	14	5251	197
6	9	871	16
6	10	4065	18
6	14	22689	49
6	10	703	10
8	22	29135	4151
7	18	35993	177
7	12	4281	136
8	9	3823	916
6	6	1334	22
7	18	35993	156
7	13	3794	133
8	25	582135	17247
6	11	2199	25
7	20	466927	2052
6	7	3639	30
7	14	17101	198
7	11	10820	367
7	6	19363	307
6	6	3309	37
6	13	5299	18
6	6	3309	36
6	9	2204	24
7	20	466927	4321
8	14	18437	1306
6	10	2212	19
8	16	2867	1000
6	8	3274	29
8	20	47009	1275
7	17	19221	402
8	21	70331	1858
6	7	2099	27
6	5	1434	24
8	13	1	546
6	10	4065	34
6	7	2554	23
8	14	7706	1409
8	16	5959	833
8	23	498781	12508
6	11	1265	16
8	13	7144	866
7	14	16983	505
7	19	237671	1428
6	9	674	18
8	9	7251	921
6	9	5639	30
6	5	1332	21
7	19	237671	1422
6	14	22689	35
8	25	919841	4812
8	14	1230	511
7	10	2672	154
7	8	14253	257
7	14	3761	127
6	11	1265	18
6	6	2530	33
7	20	466927	4377
6	5	1332	27
6	6	1072	24
6	13	14161	94
6	14	22689	35
6	6	1001	18
8	17	100911	3384
7	8	1776	190
8	8	3178	808
6	5	1332	28
7	20	466927	1980
6	5	1434	22
8	7	96150	5517
7	18	35993	120
8	26	5898985	60343
7	18	35993	139
8	16	1	798
7	20	466927	1929
8	22	159311	4054
8	21	158027	1043
6	9	1845	15
6	13	14161	55
7	18	57923	459
8	13	1	407
6	8	1739	15
6	10	703	16
8	8	13426	1183
6	6	1843	30
6	14	22689	35
8	20	21831	3465
7	14	12595	135
7	18	35993	283
7	7	8750	278
7	20	466927	4378
7	20	466927	4269
6	10	1704	15
8	12	39894	2070
6	11	6961	25
8	26	1293343	21343
8	23	347303	1629
8	21	8718	2741
6	12	5369	17
7	18	102484	416
6	14	22689	48
7	13	5462	181
6	12	16035	31
7	18	57923	275
7	8	3890	129
8	10	3380	1274
8	12	38704	1851
7	16	4923	98
8	22	29653	2313
7	13	1256	98
8	19	1	696
7	15	3325	270
8	24	698307	29034
6	12	3333	16
6	8	1230	16
7	17	9851	326
8	26	5898985	31484
6	14	22689	88
6	11	3308	11
7	6	9507	175
8	11	3342	2039
7	13	1488	124
8	26	1293343	5021
8	7	6134	1125
8	25	582135	15711
8	24	698307	5646
6	12	3333	28
7	18	57923	1473
7	9	1438	67
7	7	3147	277
8	14	3919	1225
8	10	1288	752
7	9	10028	190
6	7	2244	24
8	27	13370769	87197
6	8	1230	152
7	15	47419	327
7	6	46719	501
8	10	17758	914
6	5	1332	20
8	9	11609	1778
6	8	1472	23
8	13	1544	514
6	12	3333	16
8	14	9128	449
8	24	268555	4753
8	14	1	792
7	18	57923	460
8	12	3423	523
8	10	27853	1880
7	20	466927	1060
6	11	2199	9
6	11	5053	24
8	15	2937	839
8	14	1520	1011
6	11	2199	26
8	15	59173	1718
6	8	1778	20
7	16	41309	439
8	22	10056	623
6	8	2617	25
8	26	1293343	9798
6	10	4007	40
7	10	2672	143
8	21	42839	4042
6	10	1704	18
6	14	22689	48
7	17	51349	488